questionId,category,state,lengthDiff,correctLength,maxOtherLength,question,optionA,optionB,optionC,optionD,correctAnswer
WY-040,stateUnique,WY,72,89,17,"What should Wyoming drivers know about wind?","Not a concern","High winds are common and can affect vehicle control especially for high-profile vehicles","Only in winter","Only in mountains",B
MS-013,cellPhone,MS,71,86,15,"What is Mississippi cell phone law for teen drivers?","Hands-free only","No texting for anyone and no phone use for those with permits or intermediate licenses","Same as adults","Complete ban",B
MA-036,stateUnique,MA,70,86,16,"Are right turns on red permitted in Massachusetts?","Never in Boston","Yes unless prohibited but right on red is prohibited in Boston unless signed otherwise","Always permitted","Only with arrow",B
NY-034,stateUnique,NY,70,93,23,"What should drivers know about New York City driving?","Standard driving","Extensive regulations including no right on red alternate side parking and congestion pricing","Same as rest of state","Lower speed limits only",B
VT-012,gdlLicensing,VT,68,82,14,"Who can supervise a Vermont permit holder?","Any adult","Licensed driver 25 or older with 3 years experience or licensed parent with 1 year","Anyone over 21","Only parents",B
WI-040,stateUnique,WI,67,91,24,"What is unique about Wisconsin motorcycle rules for drivers?","No special rules","Drivers must be aware of motorcycle-friendly laws including lane filtering is not permitted","Lane splitting allowed","Helmets optional for all",B
WY-038,stateUnique,WY,66,86,20,"What is open range in Wyoming?","Not applicable","Livestock may be on unfenced roads and drivers are responsible for avoiding collisions","Only on private land","All fenced",B
NV-037,stateUnique,NV,62,81,19,"What should Nevada drivers know about Las Vegas area traffic?","Standard driving","Heavy tourist traffic unique road layouts and pedestrians require extra attention","No special concerns","Lower speed limits",B
MI-038,stateUnique,MI,61,82,21,"What should Michigan drivers know about deer?","Not a concern","Michigan has high deer-vehicle collision rates especially October through December","Only in parks","Marked crossings only",B
MT-040,stateUnique,MT,61,83,22,"What should Montana drivers know about winter driving?","Mild winters","Severe winters with snow ice and limited visibility requiring winter driving skills","Snow is rare","Chains always required",B
MA-034,stateUnique,MA,58,77,19,"What should Massachusetts drivers know about Boston area driving?","Standard conditions","Rotaries complex intersections and aggressive traffic require extra attention","No special concerns","Slower traffic",B
VA-038,stateUnique,VA,58,78,20,"What should Virginia drivers know about reckless driving?","Same as other states","Speeds over 85 mph or 20 over the limit is reckless driving a criminal offense","Only in school zones","Only causes fines",B
MN-038,stateUnique,MN,57,74,17,"What are zipper merges in Minnesota?","They do not exist","Encouraged method where drivers use all lanes and merge at the merge point","Illegal maneuver","Only for trucks",B
