questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
WY-040,stateUnique,WY,"What should Wyoming drivers know about wind?","Wind gusts mainly affect motorcycles so larger vehicles like trucks and RVs can maintain normal speeds","High winds are common statewide and can affect control especially for high-profile vehicles","Mountain passes see occasional gusts but the open plains and valleys remain calm most of the year","Seasonal wind advisories apply only during spring months when storms move through the region",B
MS-013,cellPhone,MS,"What is Mississippi cell phone law for teen drivers?","Hands-free devices are required for all drivers including teens with learner permits statewide","No texting for anyone and no phone use at all for permit and intermediate license holders","Same rules as adult drivers apply once a teen completes the graduated licensing program","Complete ban on all electronic devices including GPS and music apps for drivers under eighteen",B
MA-036,stateUnique,MA,"Are right turns on red permitted in Massachusetts?","Right turns on red are never permitted anywhere in Boston including signed intersections citywide","Yes unless prohibited and Boston prohibits right on red unless signs specifically allow it","Always permitted at any intersection after coming to a complete stop and yielding to traffic","Only permitted when a green arrow signal is displayed indicating the turn is protected",B
NY-034,stateUnique,NY,"What should drivers know about New York City driving?","Standard driving rules apply throughout all five boroughs with normal speed enforcement","Extensive regulations including no right on red alternate side parking and congestion pricing","Same rules as the rest of New York State apply with slightly lower posted speed limits in boroughs","Lower speed limits and metered parking are the only differences from upstate driving rules",B
VT-012,gdlLicensing,VT,"Who can supervise a Vermont permit holder?","Any licensed adult driver over the age of 21 can supervise regardless of their driving experience","Licensed driver 25 or older with 3 years experience or a parent or guardian with 1 year","Anyone over 21 with a valid license and at least 6 months of driving experience in Vermont","Only parents or legal guardians may supervise and they must hold a valid Vermont license",B
WI-040,stateUnique,WI,"What is unique about Wisconsin motorcycle rules for drivers?","No special motorcycle awareness rules exist beyond standard right-of-way laws for all vehicles","Drivers must be aware of motorcycle-friendly laws and know that lane filtering is not permitted","Lane splitting is allowed for motorcycles at speeds under 25 mph in congested traffic conditions","Helmets are optional for all motorcycle riders over 18 regardless of experience or license type",B
WY-038,stateUnique,WY,"What is open range in Wyoming?","Open range laws were repealed in 2015 so all livestock must now be fenced by property owners","Livestock may be on unfenced roads and drivers are responsible for avoiding collisions","Open range applies only on private ranch land and livestock must be fenced near public highways","All major highways are fenced but county roads may have occasional livestock crossing areas",B
NV-037,stateUnique,NV,"What should Nevada drivers know about Las Vegas area traffic?","Standard highway rules apply and traffic flows smoothly due to the grid street design","Heavy tourist traffic unique road layouts and pedestrians require extra driver attention","No special concerns beyond typical urban driving found in any major metropolitan area","Speed limits are reduced throughout the Strip and downtown but otherwise driving is standard",B
MI-038,stateUnique,MI,"What should Michigan drivers know about deer?","Deer are not a significant concern because Michigan has wildlife fencing along major highways","Michigan has high deer-vehicle collision rates especially from October through December","Deer crossings are only marked in designated park areas and rural recreation zones","Marked wildlife crossing zones with reduced speed limits alert drivers to all deer areas",B
MT-040,stateUnique,MT,"What should Montana drivers know about winter driving?","Winters are relatively mild compared to other northern states due to Chinook wind patterns","Severe winters with snow ice and limited visibility require strong winter driving skills","Snowfall is rare in the eastern plains though mountain passes may close during major storms","Tire chains are always required by law on all vehicles from November through March statewide",B
MA-034,stateUnique,MA,"What should Massachusetts drivers know about Boston area driving?","Standard urban conditions apply with typical traffic patterns found in any northeastern city","Rotaries complex intersections and aggressive traffic require extra attention from drivers","No special concerns exist because road improvements have modernized most Boston intersections","Traffic generally moves slower than other cities making Boston easier to navigate safely",B
VA-038,stateUnique,VA,"What should Virginia drivers know about reckless driving?","Reckless driving is handled the same as other states with standard fines and points assessed","Speeds over 85 mph or 20 over the limit is reckless driving which is a criminal offense","Reckless driving charges only apply in school zones and designated construction areas","Reckless driving results in fines only and does not appear on your criminal record",B
MN-038,stateUnique,MN,"What are zipper merges in Minnesota?","Zipper merges are not officially recognized and drivers should merge as early as possible","Encouraged method where drivers use all lanes and merge at the designated merge point","Zipper merging is considered an illegal maneuver and can result in a failure to yield citation","Zipper merging rules only apply to commercial trucks and buses during construction zones",B
PA-006,gdlLicensing,PA,"How many passengers can a Pennsylvania junior driver carry in first 6 months?","No passenger limits apply as long as all occupants are wearing seat belts in available seats","No more passengers than seat belts and no more than 1 under 18 unless family member","Maximum of 2 passengers regardless of age are permitted during the first six months","Only immediate family members may ride as passengers for the entire first year period",B
TX-030,insurance,TX,"What happens if you drive without insurance in Texas?","First offense results in a written warning with no fine if you obtain insurance within 30 days","Fines up to $350 for first offense plus surcharges and possible license suspension","Points are added to your driving record but no fine is assessed until the second offense occurs","A small fine under $100 is typical for first-time offenders with no additional penalties",B
